question,label,generate_result,choice_result,logits
"题目： 因情志刺激，突然出现下焦胀满，甚至小便失禁。此因
A. 喜则气缓
B. 恐则气下
C. 惊则气乱
D. 悲则气消",B,D,D,"0.20134178967819716,0.506564197984031,0.00548320397293145,0.5817291184572113"
"题目： 属于中医治则的是
A. 扶正
B. 催吐
C. 发汗
D. 调和",A,A,A,"0.8916219982840626,0.6312662836730067,0.7455775809095432,0.21064453867833954"
"题目： 治疗阴暑，宜选用的方剂是
A. 四物汤
B. 香薷饮
C. 左归丸
D. 白虎汤",B,A,A,"0.943612728036995,0.6309364596074443,0.26017720885209183,0.08369044014229365"
"题目： 与情志抑郁最为关联的是
A. 肝失疏泄
B. 心神不足
C. 肝升太过
D. 髓海空虚",A,D,D,"0.11136903553872035,0.680575441648228,0.4724251150752081,0.8466387394341122"
"题目： 下列不属于调养正气的方法是
A. 加强锻炼
B. 外避病邪
C. 调摄精神
D. 起居有常",B,D,D,"0.11821374446200095,0.4647848887515842,0.11954747212351136,0.961425318960897"
"题目： 质地沉重的矿石、化石、贝壳类药物，多放在斗架的
A. 较下层
B. 中上层
C. 中下层
D. 高层",A,D,D,"0.25792059649432464,0.22022719259966994,0.18130603975466741,0.3572523759790166"
"题目： 下面既是病理产物，又是致病因素的是
A. 六淫
B. 饮食
C. 七情
D. 瘀血",D,C,C,"0.8193372373886425,0.27521255259135124,0.8275415539501323,0.8031133876167126"
"题目： 某患者，于夏日感受暑湿，身热烦渴，小便不利，大便泄泻。治疗宜首选的方剂是
A. 香薷散
B. 参苓白术散
C. 六一散
D. 藿香正气散",C,A,A,"0.9796592940927787,0.9608905345454054,0.325456726804192,0.844904654436504"
"题目： 少阳经在头部经过的部位是
A. 侧头部
B. 头后部
C. 头顶部
D. 前额部",A,A,A,"0.9426743915362445,0.07391129106358851,0.8453945075054247,0.6489741128132464"
"题目： 患者阳痿不举，面白神疲，腰膝酸软，形寒肢冷，舌迟沉。诊断为
A. 脾虚气陷证
B. 气不摄津证
C. 肾气不固证
D. 肾阳虚证",D,A,A,"0.9590771447220783,0.2651875554775517,0.851902997540069,0.9298346633674007"
"题目： 痫证小发作时不发生
A. 突然仆地
B. 动作中断
C. 头向前倾
D. 持物落地",A,C,C,"0.37009209853662484,0.05625929137338315,0.6553769683920289,0.24333262997040062"
"题目： 患者，男，65岁。近期表现肢体关节疼痛，游走不定，屈伸不利，伴恶风发热，苔薄白，脉浮等症状。根据六淫致病特点，上述病证体现了该邪气什么致病特点
A. 善行
B. 开泄
C. 干涩
D. 凝滞",A,C,C,"0.07087561985127955,0.2675010591722914,0.4415753752648638,0.2861031168556194"
"题目： 《金匮要略》所说：“见肝之病，知肝传脾”，是指
A. 土侮木
B. 子病犯母
C. 木乘土
D. 母病及子",C,C,C,"0.570059678937774,0.1811231168234615,0.8511640007477796,0.6693845490098206"
"题目： 某男，25岁。前日开始，右胸胁部泛起疱疹，灼热疼痛，口苦咽干，烦躁不安、溲赤便干，舌边红苔黄腻，脉弦数。临床诊断最可能是
A. 肝胆湿热证
B. 血热证
C. 湿热蕴脾证
D. 血热生风证",A,C,C,"0.9058016316654968,0.33107074380261214,0.9752459035717667,0.76675007451379"
"题目： 某女，32岁。下岗后心情不好，近半月自感胃脘痞满，嗳气时作，纳谷不香，胸闷喜叹息，舌正常，脉弦。临床诊断最可能是
A. 肝气郁结证
B. 肝胃不和证
C. 肝郁脾虚证
D. 肝气横逆证",B,A,A,"0.9337568283324251,0.35061853657774233,0.31659609716204595,0.45081495542243977"
"题目： 满面通红的病机是
A. 真寒假热
B. 邪热亢盛
C. 虚阳上越
D. 阴虚火旺",B,D,D,"0.8328683223288925,0.8716862861443605,0.31603698522098755,0.9402885675819638"
"题目： 肿的基本病理是
A. 筋络阻塞气滞血瘀
B. 血瘀痰阻
C. 毒邪滞留
D. 痰湿内蕴",A,B,B,"0.4939735652412979,0.6620990537572354,0.26896956900582736,0.6466895841593722"
"题目： 患者咳嗽剧烈，气粗，喉燥咽痛，咯痰不爽，痰粘色黄，常伴鼻塞流黄涕，口渴，头痛，发热恶风，舌苔薄黄，脉浮数。其证属
A. 痰湿犯肺
B. 风热犯肺
C. 风寒袭肺
D. 痰热郁肺",B,B,B,"0.3630576013954536,0.8044189658658856,0.6602119789305534,0.4151286073660747"
"题目： 肾所藏之精是指
A. 先天之精
B. 包括先天之精和后天之精
C. 生殖之精
D. 后天之精",B,C,C,"0.2418588952622236,0.596938743628854,0.7360085849937755,0.07392891867842899"
"题目： 某女，65岁。咳喘15年，每至冬季加重，面色淡白，咳声无力，动则气喘，痰清稀色白，四肢轻度浮肿，舌淡苔白，脉弱。临床诊断最可能是
A. 肾不纳气证
B. 心肺气虚证
C. 肺气虚证
D. 肺肾气虚证",C,D,D,"0.024561459187057655,0.6396079346564395,0.03270735639175959,0.6505307684952106"
"题目： 患者，男，48岁，胃脘胀痛2周，连及胁肋，嗳气后疼痛减轻，每于情志刺激时胃痛加重，食欲不振，嘈杂吞酸，舌红，苔薄白，脉弦。该患者辨证为
A. 肝胃不和
B. 寒凝气滞
C. 肝胃郁热
D. 饮食停滞",C,D,D,"0.07784881668856147,0.17190377747595376,0.14923093217685113,0.8943248099904145"
"题目： 血瘀致痛的特点是
A. 空痛
B. 胀痛
C. 刺痛
D. 重痛",C,D,D,"0.46148453386800103,0.4549347333787038,0.548426633892535,0.6389267834107548"
"题目： 能产生天癸的物质是
A. 水谷精微
B. 命门之火
C. 冲任气血
D. 肾精",D,D,D,"0.5790648663964271,0.8908581458296275,0.062287715097204766,0.8927165410701801"
"题目： 实喘的主要病变脏腑是
A. 心
B. 肾
C. 肺
D. 肝",C,B,B,"0.6819630504985875,0.9092600834672324,0.0015685753260716861,0.849823099800222"
"题目： 孙络是指
A. 十二皮部的络脉
B. 络脉中最细小的分支
C. 十五别络
D. 行于浅表部位的络脉",B,C,C,"0.45451002774699767,0.8223888930823819,0.8887979331126221,0.17128497621732064"
"题目： 在阴阳失调病机中，阳偏衰以哪脏为根本
A. 脾
B. 心
C. 肾
D. 肝",C,A,A,"0.8894651105421201,0.6865064440065326,0.4874465043337519,0.4339713054579716"
"题目： 下列不为郁证特征的是：
A. 胁肋胀痛
B. 易怒善哭
C. 潮热盗汗
D. 精神抑郁",C,A,A,"0.9793306843141685,0.08300033187183731,0.9734572096930734,0.38821777851753636"
"题目： 因含砷类对肾有影响的中药是
A. 细辛
B. 鱼胆
C. 雄黄
D. 朱砂",C,D,D,"0.2942121741839733,0.040020934339281444,0.5756144786224857,0.8684183779203871"
"题目： 对津液不具有直接固摄作用的是
A. 肝
B. 肺
C. 肾
D. 脾",A,A,A,"0.7741043481182528,0.12038806011738168,0.41896950535302435,0.48722091299240333"
"题目： “一源三歧”的三条经脉是
A. 督、冲、带
B. 任、督、带
C. 冲、任、带
D. 冲、任、督",D,C,C,"0.20382312703566863,0.0061555368326747795,0.5508195674311183,0.20675186502012521"
"题目： 气的上升运动太过，称为
A. 气逆
B. 气脱
C. 气滞
D. 气不降",A,B,B,"0.3733230456014158,0.8223409195338083,0.1989050324829612,0.013480441145064748"
"题目： 水肿在什么情况下使用攻下逐水药最适宜？
A. 病久体虚肿甚，日久不消
B. 颜面浮肿，兼有表症
C. 病初体实肿甚，正气已虚
D. 病初体实肿甚，正气尚旺",D,C,C,"0.21777908568331794,0.045626453756641205,0.9299750376995737,0.06898473689289031"
"题目： 根据十二经脉流注次序，手少阳经应流注至
A. 足少阳经
B. 足厥阴经
C. 手厥阴经
D. 手少阴经",A,C,C,"0.8376493076589707,0.87831139354904,0.8901484713791823,0.838799480709817"
"题目： 患者气粗息涌，喉中痰鸣如吼，胸高胁胀，呛咳阵阵，咯痰色黄粘稠，心烦，汗出，面赤，口渴喜饮，不恶寒，舌质红，舌苔黄腻，脉滑数。此哮证的护治原则为
A. 清热宣肺，化痰平喘
B. 温肺散寒，化痰平喘
C. 开郁降气平喘
D. 补肾纳气平喘",A,A,A,"0.6361085881960851,0.40859812612074775,0.14607305379682023,0.35163553773855716"
"题目： 老年人用药时，不宜与麝香保心丸同时服用的药物是
A. 阿卡波糖
B. 地高辛
C. 复方维生素
D. 阿司匹林",B,C,C,"0.14978886049059792,0.15247017094318116,0.796776621491614,0.5176977154628063"
"题目： 肺的生理特性是
A. 喜燥恶湿
B. 不耐寒热
C. 喜润恶燥
D. 体阴用阳",B,C,C,"0.8970203811006768,0.0729096235248059,0.8992411334978284,0.20620117159383922"
"题目： 下列不是脾胃虚寒型胃痛主症的是
A. 神疲纳呆，四肢倦怠
B. 空腹痛甚，得食则缓
C. 胃痛隐隐，绵绵不休
D. 口干思饮，大便秘结",D,C,C,"0.17768267518604774,0.5493719299053533,0.7157180178510775,0.11352721018910461"
"题目： 下列不属于奇恒之腑的是
A. 筋
B. 脉
C. 髓
D. 骨",A,D,D,"0.520145293808702,0.7606761082473624,0.31537720934083446,0.8812904517753446"
"题目： 古代哲学精气概念的产生是源于
A. 水地说
B. 元气说
C. 五方说
D. 五材说",A,C,C,"0.3633635480610171,0.8432903221234453,0.9289156564554727,0.6526746057706622"
"题目： 某男，60岁。心悸、胸闷、气短已3年。近日加剧，面色淡白，神疲乏力，心悸时作，入夜不能安睡，舌淡苔白，脉弱。临床诊断最可能是
A. 心阳虚证
B. 血虚证
C. 气虚证
D. 心气虚证",D,A,A,"0.6440476967438814,0.5564807793243295,0.20189064927279288,0.11364070660371606"
"题目： 《素问·水热穴论》称“胃之关”是
A. 肺
B. 肾
C. 膀胱
D. 脾",B,A,A,"0.6979645219276143,0.20390178672178172,0.29407650591378287,0.229302956412896"
"题目： 川乌类有毒饮片宜先煎
A. 2.5～3h
B. 1～2h
C. 0.5～1h
D. 1.5～2.5h",B,C,C,"0.26213264346073484,0.16591817375460627,0.5760089079205546,0.5597906106644421"
"题目： 下列不是津所布散的主要部位的是
A. 皮肤
B. 孔窍
C. 肌肉
D. 关节",D,C,C,"0.6892667126540976,0.7481077054373004,0.8154300588492335,0.476625666546062"
"题目： 湿邪致病往往缠绵难愈，是由于
A. 湿性趋下
B. 湿性重浊
C. 湿性粘滞
D. 湿为阴邪",C,A,A,"0.8293246137141561,0.6024022846554251,0.6679479626395538,0.8162701383699894"
"题目： 与呼吸关系最密切的两脏是
A. 肺与肾
B. 肺与心
C. 肺与肝
D. 脾与肺",A,B,B,"0.09906149119959162,0.45838342193510195,0.37094414083007965,0.08947817348128484"
"题目： 易使人出现各种血证的是
A. 火邪
B. 暑邪
C. 燥邪
D. 风邪",A,D,D,"0.4701529301843005,0.2756001369551885,0.08068807643959619,0.9884172335166189"
"题目： 小肠的功能是
A. 运行水液
B. 受纳腐熟
C. 排泄糟粕
D. 受盛化物",D,A,A,"0.6612129335457608,0.06563313217472566,0.1030131623655689,0.5770736025466027"
"题目： 十二经中具有两条别络的经脉是
A. 足太阴脾经
B. 足少阴肾经
C. 手少阴心经
D. 手太阴肺经",A,A,A,"0.6168780746414647,0.4547214401832167,0.2252317076715712,0.08319891302331073"
"题目： 某男，38岁。口苦，胸胁痛而不能转侧，时欲太息、头痛。临床诊断最可能是
A. 手少阳三焦经病证
B. 足厥阴肝经病证
C. 手厥阴心包经病证
D. 足少阳胆经病证",D,D,D,"0.7822282603625791,0.6059981881496797,0.243886254314026,0.9041482625391891"
"题目： 宜后下的饮片是
A. 西红花
B. 雷丸
C. 阿胶
D. 砂仁",D,C,C,"0.4448009396386282,0.5555485582547285,0.9614841789185702,0.1440806530549612"
"题目： 下列不属于津液的排泄途径是
A. 尿
B. 粪
C. 汗
D. 呕吐物",D,A,A,"0.516974442056851,0.3278034094396636,0.0811448696371847,0.4806376970185212"
"题目： 既属腑，又归于奇恒之腑的是
A. 胆
B. 脉
C. 髓
D. 骨",A,A,A,"0.8385319717213483,0.483974384242026,0.2570359957991383,0.14481540608050059"
"题目： 与血液生成关系最为密切的脏腑是
A. 肺
B. 心
C. 脾
D. 肝",C,B,B,"0.04988408129080646,0.8018565517433907,0.7113491557214796,0.4710653683899858"
"题目： 不属于奇恒之腑特点的是
A. 泻而不藏
B. 地气之所生
C. 藏而不泻
D. 藏于阴而象于地",A,D,D,"0.41631736925376206,0.1279251607218833,0.16913431633230291,0.8739280953606913"
"题目： 患者，女，30岁。胃脘胀痛，牵连胁痛，嗳气频频，舌苔薄白，脉弦。用药宜首选
A. 陈皮、枳壳
B. 苍术、厚朴
C. 木香、砂仁
D. 柴胡、青皮",D,C,C,"0.10874102231347149,0.03587295222510156,0.7829929765805657,0.5504327548883251"
"题目： 枢折挈见于《素问·痿论》中痿证的
A. 骨痿
B. 肉痿
C. 筋痿
D. 脉痿",D,C,C,"0.3298005341729322,0.20548134633644388,0.6702875771361927,0.17361122247684613"
"题目： 阳虚寒凝所致的便秘，宜选用的中成药是
A. 桂附地黄丸与麻仁滋脾
B. 清宁丸
C. 槟榔四消丸
D. 麻仁润肠丸",A,D,D,"0.5125537347392888,0.48220952991568156,0.24221931216360892,0.8645227594120637"
"题目： 呕吐吞酸，嗳气频作，胸胁胀满，脉弦。证属
A. 肝郁化火
B. 饮食停滞
C. 胃阴不足
D. 肝气犯胃",D,D,D,"0.20758045304569717,0.8827838337254684,0.4015016261860881,0.9766215687372717"
"题目： 能调节十二经气血，主生殖功能的经脉是
A. 任脉
B. 带脉
C. 冲脉
D. 督脉",C,A,A,"0.7802919442765507,0.10956530039408852,0.4146151557191592,0.7495711229322513"
"题目： 根据病情和药效，驱虫药宜
A. 睡前服
B. 饭后服
C. 早餐后服
D. 空腹服",D,A,A,"0.8257688116452082,0.29968196967910765,0.771669638695778,0.06234916395536738"
"题目： 心虚的老年人宜选用的补益药为
A. 天王补心丹
B. 六味地黄丸
C. 龟龄集
D. 人参归脾丸",D,C,C,"0.1526238422374423,0.21813999367244186,0.9123288186185647,0.347215213258094"
"题目： 下列活血药中，哪一味不兼有行气作用
A. 郁金
B. 五灵脂
C. 玄胡
D. 三棱",B,A,A,"0.5696758719793729,0.16528066668245622,0.18586099801534361,0.20463884203277216"
"题目： 《素问·太阴阳明论》认为“伤于风者”
A. 腑先受之
B. 脏先受之
C. 上先受之
D. 下先受之",C,C,C,"0.468446443935558,0.4474730167399722,0.6627953445714236,0.10455011620039256"
"题目： 痰、饮、水、湿同源而异流，其中最清稀的是
A. 水
B. 湿
C. 饮
D. 痰",A,C,C,"0.8268155616809615,0.26711942840685676,0.9147577343668898,0.6420070102789094"
"题目： 下列药物其性属阳的是
A. 生姜
B. 黄芩
C. 麦冬
D. 黄柏",A,A,A,"0.9962185532014268,0.22366525789638914,0.5611552329911959,0.5509034889894743"
"题目： 患者，男，48岁，胃脘胀痛2周，连及胁肋，嗳气后疼痛减轻，每于情志刺激时胃痛加重，食欲不振，嘈杂吞酸，舌红，苔薄白，脉弦。针对此证应采用的治法是
A. 疏肝理气，和胃止痛
B. 导滞和胃
C. 疏肝泄热，和胃止痛
D. 温中散寒，和胃止痛",D,B,B,"0.3042040552788985,0.8276115343839977,0.171622540220967,0.369774077445176"
"题目： “虚则补之，实则泻之”属于
A. 反治
B. 标本兼顾
C. 治标
D. 正治",D,D,D,"0.43501492325222124,0.507621228087662,0.47695904449784676,0.6776165139706765"
"题目： 以下哪种说法是错误的?
A. 肺主气，司呼吸
B. 肺主升清
C. 肺主通调水道
D. 肺主治节",B,A,A,"0.8771271118527917,0.3079376327218254,0.2619424142423342,0.295355248255494"
